country,variety
Bangladesh,Balam Small White
Bangladesh,Bashmoti Rice
Bangladesh,BINA Dhan
Bangladesh,Binni Rice
Bangladesh,BRRI Dhan
Bangladesh,Chinigura Rice
Bangladesh,Digha Dhan
Bangladesh,Gadai Lashkari
Bangladesh,Hail Girvi
Bangladesh,Hamim
Bangladesh,Hori Dhan
Bangladesh,Kalijira Rice
Bangladesh,Tolsi Mala Dhan 
Bangladesh,Kalo Beruin
Bangladesh,Katari Bhog
Bangladesh,Kathali Beruin Red
Bangladesh,Kathali Beruin White
Bangladesh,Khara Beruin
Bangladesh,Khato Dosh
Bangladesh,Lapha
Bangladesh,Lathial-7 Red
Bangladesh,Lathial-7 White
Bangladesh,Loha Sura
Bangladesh,Matichak
Bangladesh,Miniket Rice
Bangladesh,Modhu Beruin Red
Bangladesh,Modhu Beruin White
Bangladesh,Mou Beruin
Bangladesh,Moulata
Bangladesh,Najir Shail
Bangladesh,Pajam
Bangladesh,Pakh Beruin
Bangladesh,Raujan-1
Bangladesh,Raujan-2
Bangladesh,Sakhorkhana
Bangladesh,Shail Dhan
Bangladesh,Tepu Dhan
Bangladesh,Thakur Bhog
Bangladesh,Diga Dhan
Bangladesh,Depos Dhan
Japan,Akebono
Japan,Akitakomachi
Japan,Asahi
Japan,Domannaka
Japan,Fusaotome
Japan,Haenuki
Japan,Hanaechizen
Japan,Hinohikari
Japan,Hitomebore
Japan,Hoshinoyume
Japan,Kamachi
Japan,Kinuhikari
Japan,Kirara397
Japan,Koshihikari
Japan,Moeminori
Japan,Nagomi risotto
Japan,Nipponbare
Japan,Phoosphoos takuba
Japan,Princess Sari
Japan,Sainokagayaki
Japan,Sasanishiki
Japan,Tochiginoyume
Japan,Tsuyahime
Japan,Ginpu
Japan,Gohyakumangoku
Japan,Gouriki
Japan,Iwai
Japan,Kameno'o
Japan,Miyamanishiki
Japan,Omachi
Japan,Sakemusashi
Japan,Wataribune
Japan,Yamada Nishiki
Japan,Yumetoiro - used for making Awamori
Japan,Dewanomochi
Japan,Himenomochi
Japan,Hiyokumochi
Japan,Kitayukimochi
Japan,Koganemochi
Japan,Yukiminori
Japan,Haginokaori
Japan,Hieri
Japan,Hyugakaori
Japan,Sawakaori
Japan,Towanishiki
Japan,Akamuro
Japan,Benisarasa
Japan,Soujya Akamai
Japan,Toukon
Japan,Tsushima Akamai
Japan,Asamurasaki
Japan,Murasakinomai
Japan,Okunomurasaki
Japan,Shihou
Malaysia,Malinja
Malaysia,Mahsuri
Malaysia,Ria
Malaysia,Bahagia
Malaysia,Murni
Malaysia,Marsia
Malaysia,Jaya
Malaysia,Sri Malaysia 1
Malaysia,Sri Malaysia 2
Malaysia,MR 1
Malaysia,MR 7
Malaysia,MR 10
Malaysia,MR 27
Malaysia,MR 52
Malaysia,MR 71
Malaysia,MR 77
Malaysia,MR 73
Malaysia,MR 84
Malaysia,MR 81
Malaysia,MR 103
Malaysia,MR 106
Malaysia,MR 123
Malaysia,MR 127
Malaysia,MR 159
Malaysia,MR 167
Malaysia,MR 185
Malaysia,MR 211
Malaysia,MR 219
Malaysia,MR 220
Malaysia,MR 232
Malaysia,MR 253
Malaysia,MR 263
Malaysia,MR 269
Malaysia,MRIA
Malaysia,MR 284
Malaysia,Putra 1
Malaysia,Putra 2
Malaysia,UKMRC-2
Malaysia,UKMRC-8
Malaysia,Pulut Malaysia 1
Malaysia,MR 47
Malaysia,Pulut Hitam 9
Malaysia,MRM 16
Malaysia,MRQ 50
Malaysia,MRQ 74
Malaysia,MRQ 76
Malaysia,MR 220 CL1
Malaysia,MR 220 CL2
Pakistan,Basmati PK-198
Pakistan,Basmati PK-370
Pakistan,Basmati PK-385
Pakistan,Basmati PK-515
Pakistan,Basmati 2000
Pakistan,Kernal Basmati
Pakistan,Basmati D-98
Pakistan,DR 82 Long Grain
Pakistan,DR 83 Long Grain
Pakistan,DR 92 Long Grain
Pakistan,Himsha Basmati 67
Pakistan,Irri-6
Pakistan,Irri-9
Pakistan,C-9
Pakistan,Kainaat
Pakistan,Kasha Basmati 167
Pakistan,Khushbu
Pakistan,KS 282
Pakistan,KSK 133
Pakistan,KSK 434
Pakistan,Moomal
Pakistan,PK-386
Pakistan,PS-2
Pakistan,PSP-2001
Pakistan,Basmati SD-D34
Pakistan,Shadab
Pakistan,Shaheen Basmati
Pakistan,Shahi Basmati 451
Pakistan,Super Basmati
Pakistan,Unique Basmati 15
Pakistan,Zaiqa HT-1215
Pakistan,Sada Hayat
Pakistan,Shahkar
Pakistan,JP-5
Pakistan,Kashmir Nafees
Pakistan,Swat-I
Pakistan,Swat-II
Pakistan,Dilrosh-97
Pakistan,Fakhar-e-Malakand
Pakistan,Sarshar
Pakistan,Shahkar
Pakistan,Basmati Chenab
Pakistan,Basmati Kissan
Pakistan,Basmati Punjab
Pakistan,Basmati 1509
Pakistan,Noor Basmati
Indonesia,Anak Daro
Indonesia,Andel Jaran
Indonesia,Angkong
Indonesia,Batang Lembang
Indonesia,Batang Ombilin
Indonesia,Batang Piaman
Indonesia,Bengawan
Indonesia,Cempo
Indonesia,Ceredek
Indonesia,Ceredek asal Gaduang Surian
Indonesia,Ceredek asal Talang Babungo
Indonesia,Ceredek Merah
Indonesia,Ceredek Putih asal Tanjung Balik
Indonesia,Cianjur Pandanwangi
Indonesia,Cisokan
Indonesia,Dharma Ayu
Indonesia,Dryland rice landraces of Java
Indonesia,Ekor Kuda
Indonesia,Engseng
Indonesia,Gropak
Indonesia,Gundelan
Indonesia,Indramayu
Indonesia,Induk Ayam
Indonesia,Jambur Urai
Indonesia,Kebo
Indonesia,Ketan Lusi
Indonesia,Ketan Tawon
Indonesia,Longong
Indonesia,Markoti
Indonesia,Melati
Indonesia,Merong
Indonesia,Ondel
Indonesia,Padi Boy Rice
Indonesia,Padi Cere Kuning
Indonesia,Padi Cere Unggul
Indonesia,Padi Gadu
Indonesia,Padi Gandamana
Indonesia,Padi Hitam
Indonesia,Padi Kidangsari
Indonesia,Padi Konyal
Indonesia,Padi Kuning
Indonesia,Padi Kutu
Indonesia,Padi Mendali
Indonesia,Padi Mentik
Indonesia,Padi Mentik Wangi
Indonesia,Padi Pandan Wangi
Indonesia,Padi Parak
Indonesia,Padi Putih
Indonesia,Padi Sari Wangi
Indonesia,Padi Sri Wulan
Indonesia,Padi Suntiang
Indonesia,Padi Wangi Lokal
Indonesia,Pemuda Idaman
Indonesia,Peta
Indonesia,Rajalele
Indonesia,Rangka Madu
Indonesia,Rejung Kuning
Indonesia,Rijal
Indonesia,Rojolele
Indonesia,Sawah Kelai
Indonesia,Siherang
Indonesia,Sikadedek
Indonesia,Simenep
Indonesia,Sri Kuning
Indonesia,Srimulih
Indonesia,Tambun Data
Indonesia,Temanggung black rice
Indonesia,Tembaga
Indonesia,Tjina
Indonesia,Tumpang Karyo
Indonesia,Tunjung
Indonesia,Umbul-umbul
Indonesia,Untup
Indonesia,Wulu
India,Traditional Basmati Rice
India,PUSA Basmati Rice
India,1121 Basmati Rice
India,1509 Basmati Rice
India,1718 Basmati Rice
India,Sugandha Rice
India,Sharbati Rice
India,RH-10 Rice
India,Parmal 11
India,Parmal 14
India,Parmal 47
India,Parmal 106
India,Chitti Mutyalu
India,Sona masoori
India,Bangaru Theegalu
India,Pusa-677
India,Krishna Hamsa
India,Triguna
India,Indur Samba
India,Keshava
India,Swathi
India,Vedagiri
India,Maruteru Sannalu
India,Cottondora Sannalu
India,Bharani
India,Deepti
India,Srikakulam Sannalu
India,Vasundhara
India,Early Samba
India,Surya
India,Tholakari
India,Godavari
India,Shanthi
India,Indra
India,Sree Kurma
India,BPT Rice
India,Bathukamma
India,RNR 15048 or Telangana Sona
India,Veyyi Padi
India,Aarkalu
India,Swarna
India,Samba
India,RJL
India,Sampada
India,Amara
India,Sri Dhruthi
India,Tarangini
India,Bheema
India,Chandra
India,Pushyami
India,Prabhat
India,Sujatha
India,Maruteru Samba
India,Maruteru Mahsuri
India,Sravani
India,Samba masuri
India,Gidda masuri
India,Vijaya masuri
India,Tella Masuri
India,Jeelakara Masuri
India,Molagolukulu
India,Jeelakara Sannalu
India,Mysore Mallige
India,NMS2
India,Chinnaponni
India,HMT
India,De Govinda
India,Navara
India,Diabetic Rice
India,Karigajavali
India,Kagisale
India,Doddabairnellu
India,Gandhsale
India,Jeerige Sanna
India,Sannakki
India,Ambemore
India,Burma Black
India,Salem Sanna
India,Rajbhoga
India,Gowri Sanna
India,Rajkamal
India,Karijaddu
India,Karidaddibudda
India,Jolaga
India,Munduga
India,Doddabarinellu
India,Rajamudi
India,Rathnachudi
India,Sannavalya
India,Mysore Sanna
India,Bangaragundu
India,BR-2655
India,IR-30864
India,Jaya
India,Kagga of Manikatta
India,Thanu
India,Tunga
India,Nalihati
India,Padmakeshari
India,Kalamoti
India,Balami
India,Kalajiri
India,Tulasibasa
India,Pimpudibasa
India,Swarna
India,Nalabainsi
India,Pateni
India,Arikirai 110
India,Aryan
India,Boli Ari
India,Cheera Thouvan
India,Chembaavu
India,Chenjeera
India,Chennellu
India,Cherumadan
India,Chitteni
India,Chuvanna Choman
India,D1
India,Dhebi
India,Gandhakasala
India,Ezhome Rice
India,Jeerakasala
India,Kaattaazhi
India,Kariyadukkan
India,Karutharikannan
India,Keeripallan
India,Kochathikkalaari
India,Kodukayama
India,Kozhivalan
India,Kumaro-athikkalaari
India,Kunjinellu
India,Kunjuvithu
India,Kuppakayama
India,Kuttadan
India,Malakkannan
India,Malakkaran
India,Matta Palakkad
India,Modan
India,Moorkhan
India,Mundakan
India,Mundodan
India,Mundot
India,Munnayan
India,Nallachennellu
India,Njavara
India,Odachan
India,Oryssa
India,Palliyaran
India,Paravalappan
India,Ponnariyan
India,Punjakayama
India,Rajadhani
India,Rajakayama
India,Ratha Choodi
India,Sughikayama
India,Thavalakkannan
India,Thonnuran
India,Thottam
India,Thovvan
India,Undakayama
India,Vachan
India,Vattan
India,Vayalthoova
India,Vellachoman
India,Vellariyan
India,Vellathovvan
India,Velutharikannan
India,Wayanad Kayamma
India,Sali
India,Suwagmoni
India,Aduthurai
India,Akshayadhan
India,Ambasamudharam
India,Amsipiti Dhan
India,Aravan Kuruva
India,Ariyan Nel
India,Arubatham Samba
India,Aruvadhan Kodai
India,Arwa
India,Basmati Tukda
India,Bhatta Dhan
India,Biagunda Dhan
India,Bod Dhan
India,Chengalpattu Sirumani
India,Chennel
India,Chithiraika
India,Chithiraikkar
India,Chomala
India,Chot Dhan
India,Cochin Samba
India,Coimbatore
India,Eravapandi
India,Gandakesala
India,Improved Samba Mahsuri
India,Improved White Ponni
India,IR-20
India,Molakolukulu
India,IR-50
India,Molakolukulu
India,Jil Jil Vaigunda
India,Jirkudai
India,Jogarnath Dhan
India,Kadaikazhuthan
India,Kaividhai Samba
India,Kalarpaalai
India,Kalarpalai
India,Kalinga III
India,Kaliyan Samba
India,Kallimadaiyan
India,Kallundai
India,Kallurundaiyan
India,Kamban Samba
India,Kandasel
India,Kappakkar
India,Kappa Samba
India,Kar Samba
India,Karthigai Samba
India,Karunguruvai
India,Karuppu Nel
India,Karuthakkar
India,Katarni
India,Kattanur Nel
India,Katta Samba
India,Kattukuthalam
India,Kattu Samba
India,Kattu Vaniyam
India,Kitchili Samba
India,Kollan Samba
India,Kollikkar
India,Konakkuruvai
India,Koomvalai
India,Kouni Nel
India,Kudaivazhai
India,Kudavazhai
India,Kudhiraival Samba
India,Kullakaar
India,Kundri Manisamba
India,Kunthali
India,Kurangu Samba
India,Kuruvai
India,Kuruvai Kalanchiyam
India,Kuruvaikalayan
India,Kuzhiyadichan
India,Kullakkaan Samba
India,Lakshmi Kajal
India,Lendhi Dhan
India,Mahate
India,Mal-bhog
India,Manakathai
India,Mansoori
India,Mappillai Samba
India,Maranel
India,Mathimuni
India,Mattai 110
India,Mattaikkar
India,Mattaikkuruvai
India,Moongil
India,Mottakur
India,Murugangar Nel
India,Muttakkar
India,Nalla Manisamba
India,Navara
India,Neelasamba
India,Ninni Dhan
India,Norungan
India,Njavara
India,Oazhava Katrazhai
India,Ondrarai Samba
India,Oldisaur Dhan
India,Ottadai
India,Parwmal
India,Pathrakali
India,Pattaraikkar
India,Pattar Pisin
India,Periyavari
India,Perungar
India,Pisini
India,Pitchavari
India,Ponni Rice
India,Poongar
India,Poovan Samba
India,Puzhuthiikar
India,Puzhuthikal
India,Puzhuthi Samba
India,Rasagadam
India,Rongalachi Dhan
India,Sadakar
India,Siraga samba
India,Samba
India,Samba Mosanam
India,Sandikar
India,Sanna Samba
India,Seela Rice
India,Seeraga Samba
India,Selam Samba
India,Sembilipanni
India,Sempalai
India,Sempalai
India,Sigappu Jermany
India,Sigappu Kuzhiyadichan
India,Sivappu Chithiraikar
India,Sivappu Kuruvikar
India,Soolaikuruvai
India,Sooran Kuruvai
India,Sornavali
India,Sornavari
India,Sureka
India,Surti Kolam
India,Thangam Samba
India,Thidakkal
India,Thinni
India,Thooyamallee
India,Trichy 3
India,Tulsi-manjari Black
India,Vadan Samba
India,Vaigunda
India,Valla Arakkan
India,Vangu Vellai
India,Varadhan
India,Varalan
India,Varappu Kudainchan
India,Vasaramundan
India,Veer Adangan
India,Veethivadangan
India,Velchi
India,Veliyan
India,Vellai Chithiraikkar
India,Vellaikkariyan
India,Vellaikkuruvai
India,Vellaikkuruvai
India,Vellai Nel
India,Vellai Poonkar
India,Alai
India,Amkel
India,Antarbhet
India,Are emo
India,Adansilpa
India,Agarali
India,Agniban
India,Aguripak
India,Anshphal
India,Arabaihar
India,Arabaihar
India,Are hat Punko
India,Aroar
India,Asanliya
India,Bahurupi
India,Begun bichi
India,Bhaaluki
India,Bhaludubraj
India,Bhasa Kalmi
India,Bhasa manik
India,Birpana
India,Badamphul
India,Badshabhog
India,Bahdurbhog
India,Baigan monjia
India,Bakui
India,Balam
India,Balaramsal
India,Banglaptanai
India,Baranali
India,Barshalakshmi
India,Baskathi
India,Basmoti
India,Baspata
India,Bhimsal
India,Bhogdhan
India,Bhutia
India,Birahi
India,Birai
India,Bodimani
India,Chamarmani
India,Chamatkar
India,Chinakamini
India,Chandrakanata
India,Deko 2
India,Denta
India,Dheku
India,Dhundhuni
India,Dudheswar
India,Dudheswar Sundarban
India,Danaguri
India,Dandkhani
India,Dandsal
India,Danti
India,Dayalmadina
India,Debsundari
India,Dehradun Gandheswari
India,Desi Jarhan Baihar
India,Desidhan
India,Dhapa
India,Dharaial
India,Dhusari
India,Dolle Kartick
India,Dope
India,Dubraj
India,Dudheswar
India,Dudhkalma
India,Dwarkasal
India,Fulmugri
India,Gangabaru
India,Garikhajara
India,Geligeti
India,Ghios
India,Ghurghupaijam
India,Gitanjali
India,Gobindabhog
India,Gopalbhog
India,Goradhan
India,Janglijata
India,Haldichuri
India,Haludgati
India,Hamai
India,Hamilton
India,Harinkajli
India,Hatidhan
India,Hendebaihar
India,Heruajoha
India,HJP 110
India,HJP 72
India,HJP 73
India,HJP 77
India,HJP sahebbhog
India,HMT
India,Hogla
India,HP 203
India,Hamiltan
India,Hangara
India,Hormanona
India,Itanagar
India,Jabaful
India,Jalkamini
India,Jamainaru
India,Jasmine
India,Jata
India,Jhili
India,Jhinge sal
India,Jhingesal L
India,Jhuli
India,Jhulur
India,Jhumpuri
India,Jigiresamba
India,Jugal
India,Jabra
India,Jaldhapa
India,Jaldubi
India,JP 57
India,Jubri dhan
India,Kaleti
India,Kaloboro
India,Kumragore
India,Kabirajsal
India,Kabirajsal Odisha
India,Kaggavat
India,Khara
India,Kahndagiri
India,Kaika
India,Kalachipta
India,Kalalahi
India,Kalamdani
India,Kalodhan
India,Kalodhapa
India,Kalogoda
India,Kalojira
India,Kalonunia
India,Kaltura
India,Kalavat
India,Kaminibhog
India,Kamolsankari
India,Kanakchur
India,Kanchafulo
India,Kankri
India,Karigavole
India,Karikagga
India,Karni
India,Kasiphul
India,Kasuabinni
India,Katarangi
India,Kataribhog
India,Katki
India,Kendu Manjia
India,Kerala Sundar
India,Kesab sal
India,Khadwak
India,Kolajoha
India,Kolkiala pateni
India,Komol
India,Krishanabhog
India,Kuji Pateni
India,Kute Patnai
India,Laghu
India,Lakhsman sal
India,Lalbadshabhog
India,Lalbasmati
India,Laldhan Patela
India,Laldhapa
India,Lalgetu
India,Lalkalam
India,Lalsita
India,Lathisal
India,Lusri
India,Lalbahal
India,Laldhan
India,Lalsaru
India,Lalu
India,Langlamuthi
India,Lohoindi
India,Maiganguri
India,Malabati
India,Maliagiri
India,Marikhas
India,Meghi
India,Meghnad Dumru
India,Mohini 2
India,Motabaihar
India,Moulo
India,Machakanata
India,Madhumala
India,Malsiara
India,Marichsal
India,Markali
India,Mastaer patnai
India,Matidhan
India,Matla
India,Medi
India,Mehadi
India,Mohonbhog
India,Mugojai
India,Nagaland kalo
India,Nalipankhia
India,Nikkodan
India,Nivar
India,Nonakshitish
India,Nagaland
India,Nagalanmd Sada
India,Nageswari
India,Nagra patnai
India,Narayan 21
India,Narayan kamini
India,Narkelchari
India,Naryan Patnai
India,Neli emo
India,Orasal
India,P 64
India,P 66
India,Pakistani Basmati
India,Pakri
India,Pankha Gura
India,Pari
India,Paru
India,Pateni
India,Patikalam
India,Patnai 23
India,Payti emo
India,Putkhalai
India,Parbal
India,Parimolsana
India,Phakirmoni
India,Pokali
India,Rabansal
India,Radhatilak
India,Radhuni pagal
India,Raghu sal
India,Ramchandrabhog
India,Ramigelli
India,Rangi Dhan
India,Rani akanda
India,Radha emo
India,Rahspanjar
India,Ramjiara
India,Ranikajal
India,Rupali
India,Rupsal
India,Sadagetu
India,Sabita
India,Sabraj
India,Sada Chenga
India,Sada Kalam
India,Safari
India,Salkele
India,Samba sole
India,Sapuri
India,Sararaj
India,Sarukala
India,Shatia
India,Shu Kalma
India,Silkote
India,Sita sal
India,Sitabhog
India,Siulee
India,Sole
India,Soler Pona
India,Sonalu
India,Sonasari
India,Srikamal
India,Sundari
India,Super sita
India,Talmugur
India,Tangar sal
India,Teranga
India,Thubi
India,Tilakkachari
India,Tulsa
India,Tulsibas
India,Tulsimanjari
India,Tulsmukul
India,Tilakasturi
India,Toragoda
India,Tulaipanji
India,Vogalaya
India,White Harisnakar
India,White ponny
