name,date,mass,vehicle,application,description
INS-1C,"Jan 12, 2018",11,PSLV-C40/Cartosat-2 Series Satellite Mission,Experimental,"Data sent by this camera is useful for topographical mapping, vegetation monitoring, aerosol scattering studies and cloud studies."
INS-1A,"Feb 15, 2017",8.4,PSLV-C37 / Cartosat -2 Series Satellite,Experimental,measures the Bidirectional Reflectance Distribution Function of the Earth surface and will take readings of the reflectance of different surface features due to Sun albedo.
INS-1B,"Feb 15, 2017",9.7,PSLV-C37 / Cartosat -2 Series Satellite,Experimental,The INS 1B is a nanosatellites developed by ISRO. 
YOUTHSAT,"Apr 20, 2011",92,PSLV-C16/RESOURCESAT-2,Experimental,"YOUTHSAT is a joint Indo-Russian stellar and atmospheric satellite mission with the participation of students from Universities at graduate, post graduate and research scholar level. Youthsat mission intends to investigate the relationship between solar variability and thermosphere-Ionosphere changes."
APPLE,"Jun 19, 1981",670,Ariane -1(V-3),Experimental,"Apple was ISRO's first indigenous, experimental communication satellite. It was used to carry out extensive experiments on time, frequency and code division multiple access systems, radio networking computer interconnect, random access and pockets switching. experiments."
Rohini Satellite RS-1,"Jul 18, 1980",35,SLV-3E2,Experimental,It provided data on the fourth stage of SLV. The satellite had mission life of 1.2 years and an orbital life of 20 months.
Rohini Technology Payload (RTP),"Aug 10, 1979",35,SLV-3E1,Experimental,"The satellite contained instruments to monitor the flight performance of SLV-3, the first Indian launch vehicle. However the satellite could not be placed into its intended orbit."
Aryabhata,"Apr 19, 1975",360,C-1 Intercosmos,Experimental,"Aryabhata was India's first satellite. It was built to conduct experiments in X-ray astronomy, aeronomics, and solar physics."
SRE-1,"Jan 10, 2007",550,PSLV-C7 / CARTOSAT-2 / SRE-1,Experimental,"SRE – 1 intended to demonstrate the technology of an orbiting platform for performing experiments in micro gravity conditions. It carries two experiments, an Isothermal Heating Furnace (IHF) and a Bio-mimetic experiment."
SROSS-C2,"May 04, 1994",115,ASLV-D4,Experimental,The SROSS-C2 spacecraft is one of the satellites included in the Interplanetary Network.
SROSS-C,"May 20, 1992",106.1,ASLV-D3,Experimental,SROSS C and C2 carried a gamma-ray burst (GRB) experiment and a Retarded Potential Analyzer (RPA) experiment. The GRB experiment operated from 25 May 1992 until reentry on 14 July 1992.
SROSS-1,"Mar 24, 1987",150,ASLV-D1,Experimental,"SROSS-1 is the first satellite in the Stretched Rohini Satellite Series. It carried a Gamma Ray Burst payload, Corner Cube Retro Reflector for laser tracking and launch vehicle monitoring platform. It did not reach the orbit."
IRNSS-1I,"Apr 12, 2018",1425,PSLV-C41/IRNSS-1I,Navigation,-
IRNSS-1G,"Apr 28, 2016",1425,PSLV-C33/IRNSS-1G,Navigation,-
IRNSS-1F,"Mar 10, 2016",1425,PSLV-C32/IRNSS-1F,Navigation,-
IRNSS-1E,"Jan 20, 2016",1425,PSLV-C31/IRNSS-1E,Navigation,-
IRNSS-1D,"Mar 28, 2015",1425,PSLV-C27/IRNSS-1D,Navigation,-
IRNSS-1C,"Oct 16, 2014",1425,PSLV-C26/IRNSS-1C,Navigation,-
IRNSS-1B,"Apr 04, 2014",1432,PSLV-C24/IRNSS-1B,Navigation,-
IRNSS-1A,"Jul 01, 2013",1425,PSLV-C22/IRNSS-1A,Navigation,-
